,PropertyType,Address,City,State,ZipCode,Price,Beds,Baths,Living_Sq_Ft,Lot_Acres,YearBuilt,YearRenovated,Hoa/Month,Parking,Garage,ElementarySchool,E.SchoolRating,MiddleSchool,M.schoolRating,HighSchool,H.SchoolRating,Heating,Cooling,WalkableScore,TransitScore,BikeableScore,RedfinEstimate,Status,MLS Listing,Description,payment_per_month
house_0,Condo/Co-op,35 Dolores St #103 ,San Francisco,CA,94103,312324,2,2,—,,—,—,516,,,Revere (paul) Elementary School,1,,,Gateway High School,7,,,98,100,90," $322,211",Active,494553,"2 bedroom Below Market Rate (BMR) housing opportunity available at 100% Area Median Income (AMI). Maximum income for 2 people = $98,500; 3 = $110,850; 4 = $123,150, etc. Must be 1st-time homebuyer  &  income eligible. Unit available thru the Mayor's Office of Housing and Community Development (MOHCD)  &  subject to resale controls, monitoring  &  other restrictions. Unit will be listed on DAHLIA, the SF Housing Portal (https://housing. sfgov. org) starting on the application date, 2-21-2020. Visit https://housing. sfgov.org for application  &  program info. Application, loan pre-approval, and homebuyer education verification due on 3-16-2020. Fair Housing Opportunity.  ","$2,083"
house_1,Single Family Residential,34 George St ,SAN JOSE,CA,95110,1349900,4,3," 2,544", 0.1064,1900,1900,0,, 1,Grant Elementary School,2,Peter Burnett Middle School,3,Abraham Lincoln High School,6, Central Forced Air, Central Forced Air,84,65,88," $1,351,241",Active,81782737,"Beautifully updated home in desirable San Jose neighborhood! Absolutely stunning home with beautifully updated feature around every corner. Open kitchen/ living room, stunning dual colored wood cabinets, quartz counter tops and high quality stainless steel appliances. Enjoy your main and lower level master suites with walk in closets and beautifully designed bathrooms. Brand new HVAC and perfect sized backyard with updated landscaping. This home has terrific commute access, walking distance from Japan Town, San Jose State University and minutes from the future Google Campus! This home will not last! ","$6,731"
house_2,Single Family Residential,27 Saturn St ,San Francisco,CA,94114,1995000,3,2,1950,,1957,—,0, 1, 1,Yu (alice Fong) Elementary School,9,,,S.F. International High School,1,,,90,89,64," $2,366,967",Active,495259,"Stunning 3BR/2BA Mid-Century Modern Corona Heights home showcases 2 levels of panoramic city  &  bay views. Main level features spacious open floor plan integrating bright  &  elegant living/dining space, gourmet kitchen  &  large view deck. Living room boasts luminous wall of picture windows  &  wood-burning fireplace. Expansive view deck offers sweeping views stretching from Twin Peaks to the bay. Gourmet kitchen features stainless steel appliances, custom cabinetry, &  radiant skylight. Spacious master suite offers en suite bathroom  &  sitting area that opens to second view deck. Master suite descends to bonus room that can be used as spare bedroom or den/office space. There are 2 add'l bedrooms  &  a full bathroom upstairs. Hardwood floors, freshly painted walls  &  new modern light fixtures. 1-car garage w/ ample storage  &  laundry. Garden w/ sunny patio  &  custom-built tool shed. Walking distance to Castro restaurants/shops, Castro Muni stations, tech shuttles  &  quick access to 101/280 freeways.  ","$10,012"
house_3,Single Family Residential,3909 Avocet Ter ,Fremont,CA,94555,840000,2,2,1407,,1987,1987,260,, 2,Patterson Elementary School,7,,,American High School,10,,,54,31,59," $883,191",Active,40895548,"A great home featuring a double door entryway leading into a bright and cozy living room with a brick fireplace. The living room has access to a peaceful and relaxing backyard. A split stairway leads to the second level that features two spacious bedrooms and a full bath. The Master Bedroom has His and Her closets. The property is part of a private Community which includes access to a pool and picnic area. This home is situated in a desirable location, and is close to transportation, freeways, shopping and schools. ","$4,440"
house_4,1954,1223 Nilda Ave ,MOUNTAIN VIEW,CA,94040,0,3,2," 1,414", 0.1393,Santa Clara County,19311039,0,, 2,,,,,,, Central Forced Air, Central Forced Air,81,43,95,2231863,Sold,81768941,"Located in a highly desired street in Cuesta Park neighborhood. This beautiful newly updated home features:  refinished hardwood floors throughout the house, fresh painted interior, brand new roofing(40-year composition), new rear yard fence, newly professional landscaping front  &  back yards, crown-moldings, central air conditioning, a spacious 2-car garage. Close to everything, Benjamin Bubb Elementary, park, super markets, Castro/downtown Mountain view, and high tech firms, including Google, LinkedIn, Facebook, Microsoft, Amazon. Plus easy access to highways 280, 101, 85. ","$10,507"
house_5,Condo/Co-op,555 Byron St #109 ,PALO ALTO,CA,94301,1998000,2,3," 2,067", 0.751,1997,1997,5148,, 1,Addison Elementary School,8,David Starr Jordan Middle School,8,Palo Alto High School,9, Forced Air, Central Forced Air,92,50,90," $1,940,091",Active,81776752,"At The Hamilton in the heart of downtown Palo Alto, you can enjoy all the amenities of a 5-star resort - including world-class dining with 5 gourmet dinners per week, state of the art fitness center, indoor pool and spa, library, top floor lounge and card room, personal driver, 24-hour front desk attendant, indoor gated assigned parking, individual secure storage units, in-unit washer and dryer, 10 foot ceilings, private balcony, and a gas fireplace. With over 2,067 sq ft of interior living space, this unit is one of the largest in the building and one of only a handful with a coveted expansive patio. Stretching the entire length of the unit, the patio space is perfect for gardeners, pet owners, and those who love to entertain or dine alfresco. A generously-sized eat in kitchen opens to the light bright living room, complete with built-ins, beverage fridge, gas fireplace, and a formal dining area. New carpeting and freshly polished travertine floors create a luxurious feeling.  ","$15,098"
house_6,Condo/Co-op,999 W Evelyn Ter #80 ,SUNNYVALE,CA,94086,679000,1,1, 822,,1976,1976,440, 18,,Ellis Elementary School,6,Sunnyvale Middle School,6,Fremont High School,8, Central Forced Air,,35,37,71," $669,198",Active,81780175," *  * OPTION to convert den into a 2ND BEDROOM *  *  *  Gorgeously updated Sunnyvale Condo located in the heart of Silicon Valley. This beautifully remodeled home features a large living room that boasts tons of natural light. Two separate balconies with upgraded dual pane sliding glass doors. Kitchen upgrades include granite countertops, newer cabinets, tile flooring and stainless steel appliances. Recessed lighting in the living room  &  kitchen, new interior paint  &  newer carpets. Community boasts a private pool  &  spa, tennis courts, rec center, drought-tolerant landscaping, and much more! Easy access to 101, 237, 85, 280, Lawrence, Central Expressways  &  Cal-train station. Centrally located near major companies such as Apple, Google, LinkedIn, Amazon, Facebook, Microsoft and close proximity to Downtown Sunnyvale  &  shopping. This home is a must see! ","$3,814"
house_7,Mobile/Manufactured Home,3637 Snell Ave #391 ,SAN JOSE,CA,95136,299999,3,2," 1,526",,—,—,0,,,Daniel Lairon Elementary School,3,,,Andrew P. Hill High School,5, Central Forced Air, Central Forced Air,45,51,52," $296,440",Active,81783593,"Nice Doublewide Home situated in a beautiful family park with 3 Bedrooms and 2 full baths. Plus a bonus room can be used as the fourth bedroom. Well-kept by owner. Home was greatly remodeled 2 years ago. New Central A/C. New copper piping system. Laminate and tile floorings. Kitchen has granite countertop, Island, and tile floor. Cozy Master bedroom suite. Master bathroom includes separate tub and stand shower. Jack and Jill sink. Spacious living room open to kitchen. The refrigerator in the laundry room is included in the sale. Bathrooms upgraded with modern style. Separate laundry room with Washer and Dryer. Possible 4 car carport. Reasonable space rent $1,039. A must see. ..  ","$1,496"
house_8,Single Family Residential,345 Tippecanoe Ave ,Hayward,CA,94544,788000,5,2,1967,,1951,1979,0,,,Hillview Crest Elementary School,3,Cesar Chavez Middle School,3,James Logan High School,7,,,64,33,53," $754,384",Price Change,40896778,"This can be used for a large two family home or one big family . In law potential with separate entry . Beautiful well kept home . public records says 5 bedrooms but can be up to 7 two bonus rooms have closets . Living room and family room with fire place. Freshly painted interior. Updated plumbing and electrical , near good schools , shops , freeways , excellent location near parks and trails. Turn key property ready to move into. can be used for a residential care facility . wheel chair ramp. ","$3,905"
house_9,Single Family Residential,1879 19th Ave ,San Francisco,CA,94122,1080000,5,2,—,,1925,—,0, 3, 3,Rooftop Elementary School,6,Denman (james) Middle School,4,Balboa High School,6,,,74,66,61," $1,133,124",Active,495655,"Marina style single family home in great Sunset location! Upper level, two bedrooms, Plus Sunroom, Large Living Room, Formal Dining Room!  Additional bonus unit at lower level with two additional rooms and a bath. There is a two car garage parking plus storage. Very large flat lot.  ","$5,420"
